
2025/03/07 (10:22:22) | ===> btop++ v.1.4.0
2025/03/07 (10:22:22) | INFO: Logger set to DEBUG
2025/03/07 (10:22:22) | DEBUG: Using locale en_US.UTF-8
2025/03/07 (10:22:22) | INFO: Running on /dev/pts/1
2025/03/07 (10:22:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/07 (10:22:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/07 (10:22:22) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/07 (10:22:22) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/07 (10:22:22) | DEBUG: Shared::init() : Initialized.
2025/03/07 (10:22:22) | DEBUG: Loading theme file: /home/init0/.config/btop/themes/catppuccin_mocha.theme
2025/03/07 (10:22:29) | DEBUG: Writing new config file
2025/03/07 (10:22:29) | INFO: Quitting! Runtime: 00:00:07

2025/03/08 (15:03:00) | ===> btop++ v.1.4.0
2025/03/08 (15:03:00) | INFO: Logger set to DEBUG
2025/03/08 (15:03:00) | DEBUG: Using locale en_US.UTF-8
2025/03/08 (15:03:00) | INFO: Running on /dev/pts/3
2025/03/08 (15:03:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/08 (15:03:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/08 (15:03:01) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/08 (15:03:01) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/08 (15:03:01) | DEBUG: Shared::init() : Initialized.
2025/03/08 (15:03:01) | DEBUG: Loading theme file: /home/init0/.config/btop/themes/catppuccin_mocha.theme

2025/03/08 (22:02:04) | ===> btop++ v.1.4.0
2025/03/08 (22:02:04) | INFO: Logger set to DEBUG
2025/03/08 (22:02:04) | DEBUG: Using locale en_US.UTF-8
2025/03/08 (22:02:04) | INFO: Running on /dev/pts/0
2025/03/08 (22:02:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/08 (22:02:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/08 (22:02:05) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/08 (22:02:05) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/08 (22:02:05) | DEBUG: Shared::init() : Initialized.
2025/03/08 (22:02:05) | DEBUG: Loading theme file: /home/init0/.config/btop/themes/catppuccin_mocha.theme
